CodProducto,NbrProducto,PVP,UltPrecioCompra,Inventariable,Subfamilia,ProveedorHabitual,Bloqueado,FechaUltModif,Tipo,TipoIVA
"09004763","BARAJA INFANTIL CARS 2",3.30000000000000000000,1.35000000000000000000,1,"09","000340",0,"02/12/13 00:00:00","TIENDA","IVA21"
"09004764","ESTUCHE SPIDERMAN RECT.PEQ.",3.20000000000000000000,1.32000000000000000000,1,"09","000340",0,"01/18/13 00:00:00","TIENDA","IVA21"
"09004765","BOTA FRESCALI 1L CURVADA",6.05000000000000000000,2.50333300000000000000,1,"09","000340",0,"01/18/13 00:00:00","TIENDA","IVA21"
"09004766","LLAVERO CENCERRO GRANDE",3.05000000000000000000,1.25000000000000000000,1,"09","000340",0,"01/18/13 00:00:00","TIENDA","IVA21"
"09004768","BOLSA MULTIUSOS SPIDERMAN",3.55000000000000000000,1.47000000000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA21"
"09004769","ESPEJO PARA BOLSO SRA.",0.75000000000000000000,0.30583300000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA21"
"09004770","LINTERNA PROYECCION DORA",2.90000000000000000000,1.19000000000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA21"
"09004771","BALON F.C.BARCELONA C/CAJA",9.25000000000000000000,3.81000000000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA21"
"09004772","RELOJ D/PARED  PRINCESA 25CM",5.00000000000000000000,2.06000000000000000000,1,"09","000423",0,"03/20/13 00:00:00","TIENDA","IVA21"
"09004773","MOCHILA CARRITO MICKEY",8.40000000000000000000,4.02666700000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA04"
"09004774","MOCHILA CARRITO PRINCESAS",7.80000000000000000000,3.74333300000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA04"
"09004775","PUZZLE TOY STORY 100 PZAS",5.30000000000000000000,2.17500000000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA21"
"09004776","CALCULADORA ELECTRONIC.YS-18",2.45000000000000000000,1.00000000000000000000,1,"09","000423",0,"04/16/13 00:00:00","TIENDA","IVA21"
"09004777","TAZA BOB ESPONJA C/CAJA CER.",2.25000000000000000000,0.92666700000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA21"
"09004778","JGO.CAFETERA 6 SERV.90CC",5.90000000000000000000,2.43000000000000000000,1,"09","000423",0,"01/28/13 00:00:00","TIENDA","IVA21"
"09004780","BOLSA BANDOLERA BOB ESPONJA",2.30000000000000000000,0.94187500000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA21"
"09004781","MUÑECO BEBE C/SONIDO BLANDO",8.40000000000000000000,3.46400000000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA21"
"09004782","BOTE HERMETICO CAFE MET.19CM",2.30000000000000000000,0.95000000000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA21"
"09004784","BALON REAL MADRID C.F. C/CAJA",9.25000000000000000000,3.81000000000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA21"
"09004785","SARTEN ANTIADHERENT.COLOR 14CM",4.40000000000000000000,1.80166700000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA21"
"09004787","PORTATODO HELLO KITTY",3.55000000000000000000,1.47166700000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA21"
"09004788","CAJA CAFE RECTANG.MET.10X6CM",1.30000000000000000000,0.52000000000000000000,1,"09","000423",0,"01/29/13 00:00:00","TIENDA","IVA21"
"09004789","BOLSA MULTIUSOS PRINCESAS",3.55000000000000000000,1.47166700000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA21"
"09004790","PUZZLE TOY STORY 50 PZAS",5.30000000000000000000,2.17500000000000000000,1,"09","000423",0,"01/25/13 00:00:00","TIENDA","IVA21"
"09004791","LIBRETA HELLO KITTY 12CM TD",1.10000000000000000000,0.45500000000000000000,1,"09","000423",0,"01/28/13 00:00:00","TIENDA","IVA21"
"09004792","LIBRETA PERROS 15CM TD",1.85000000000000000000,0.75166700000000000000,1,"09","000423",0,"01/28/13 00:00:00","TIENDA","IVA21"
"09004793","LIBRETA DORA 15CM TD",1.40000000000000000000,0.57000000000000000000,1,"09","000423",0,"01/28/13 00:00:00","TIENDA","IVA21"
"09004794","LIBRETA PERROS 12CM TD",1.30000000000000000000,0.52166700000000000000,1,"09","000423",0,"01/28/13 00:00:00","TIENDA","IVA21"
"09004795","LIBRETA GATOS 15CM TD",1.85000000000000000000,0.75166700000000000000,1,"09","000423",0,"01/28/13 00:00:00","TIENDA","IVA21"
"09004796","LIBRETA GATOS 12CM TD",1.30000000000000000000,0.52166700000000000000,1,"09","000423",0,"01/28/13 00:00:00","TIENDA","IVA21"
"09004797","PUZZLE INFANTIL 5 EN 1",6.10000000000000000000,2.51000000000000000000,1,"09","000423",0,"01/28/13 00:00:00","TIENDA","IVA21"
"09004798","ROTULADORES CARIOCA 12U LAVABL",3.70000000000000000000,1.52083300000000000000,1,"09","000423",0,"01/28/13 00:00:00","TIENDA","IVA21"
"09004799","CAFETERA INOX 1 TAZA",3.50000000000000000000,1.44625000000000000000,1,"09","000423",0,"01/30/13 00:00:00","TIENDA","IVA21"
"09004800","JOYERO MAD.TALLADO 8X5CM",3.85000000000000000000,1.59666700000000000000,1,"09","000423",0,"01/29/13 00:00:00","TIENDA","IVA21"
"09004801","RELOJ D/PARED MICKEY 25CM",5.00000000000000000000,2.06000000000000000000,1,"09","000423",0,"01/29/13 00:00:00","TIENDA","IVA21"
"09004802","BUDA SENTADO PORTAVELA PQ RES.",2.20000000000000000000,0.90166700000000000000,1,"09","000423",0,"02/08/13 00:00:00","TIENDA","IVA21"
"09004803","MONEDERO BARBIE REDONDO",0.80000000000000000000,0.32208300000000000000,1,"09","000423",0,"01/29/13 00:00:00","TIENDA","IVA21"
"09004804","PELUCHE TOROS",2.35000000000000000000,0.96666700000000000000,1,"09","000423",0,"01/29/13 00:00:00","TIENDA","IVA21"
"09004805","MONEDERO MICKEY REDONDO",0.00000000000000000000,0.35250000000000000000,1,"09","000340",0,"01/29/13 00:00:00","TIENDA","IVA21"
"09004806","MOTO REPSOL/HONDA PEDROSA 1/18",17.90000000000000000000,7.38500000000000000000,1,"09","000082",0,"04/09/13 00:00:00","TIENDA","IVA21"
"09004807","PIZARRA BLANCA C/ROTULADOR",2.35000000000000000000,0.96700000000000000000,1,"09","000423",0,"02/01/13 00:00:00","TIENDA","IVA21"
"09004811","LAPICES COLORES CARIOCA 8UND",0.00000000000000000000,0.40000000000000000000,1,"09",,0,"02/07/13 00:00:00","TIENDA","IVA21"
"09004813","COCHE LAMBORGHINI 1:14 R.CONTR",28.40000000000000000000,15.64500000000000000000,1,"09","000423",0,"02/07/13 00:00:00","TIENDA","IVA21"
"09004817","CERAS COLOR PASTEL 18UND",2.35000000000000000000,0.96000000000000000000,1,"09","000423",0,"02/25/13 00:00:00","TIENDA","IVA21"
"09004819","BOCINA INFANTIL C/GAS",2.70000000000000000000,1.11666700000000000000,1,"09","000423",0,"02/25/13 00:00:00","TIENDA","IVA21"
"09004820","PUZZLE OSITO MAD.EDUCATIVO",3.70000000000000000000,1.52900000000000000000,1,"09","000423",0,"02/25/13 00:00:00","TIENDA","IVA21"
"09004821","PORTANOTAS C/IMAN MASCOTAS",0.85000000000000000000,0.33916700000000000000,1,"09","000423",0,"02/25/13 00:00:00","TIENDA","IVA21"
"09004822","COCHE PORCHE 1:24 R.CONTROL",16.10000000000000000000,6.65333300000000000000,1,"09","000423",0,"02/26/13 00:00:00","TIENDA","IVA21"
"09004823","PUZZLE RELOJ HOUSE MAD.",4.30000000000000000000,1.77800000000000000000,1,"09","000423",0,"02/26/13 00:00:00","TIENDA","IVA21"
"09004825","HUCHA LATA GRD.DECORADA",0.80000000000000000000,0.32166700000000000000,1,"09","000423",0,"02/26/13 00:00:00","TIENDA","IVA21"
"09004826","FIAMBRERA/TERMO PLAST.1,25L",7.30000000000000000000,3.00666700000000000000,1,"09","000423",0,"02/26/13 00:00:00","TIENDA","IVA21"
"09004827","LINTERNA PROYECCION MICKEY",2.90000000000000000000,1.19000000000000000000,1,"09","000423",0,"02/26/13 00:00:00","TIENDA","IVA21"
"09004828","PUZZLE MINI DISNEY 35 PZAS",2.50000000000000000000,1.03291700000000000000,1,"09","000423",0,"03/04/13 00:00:00","TIENDA","IVA21"
"09004868","COCHE PAGANI 1:14 R.CONTROL",28.40000000000000000000,15.65000000000000000000,1,"09","000423",0,"03/01/13 00:00:00","TIENDA","IVA21"
"09004873","CARTERAS 4.00 SURT.CBRO.",0.00000000000000000000,4.00000000000000000000,1,"09","000411",0,"03/05/13 00:00:00","TIENDA","IVA21"
"09004877","LLAVERO MADERA D/OLIVO",1.95000000000000000000,0.00000000000000000000,1,"09","000435",0,"03/13/13 00:00:00","TIENDA","IVA21"
"09004878","LLAVERO CUERNO D/CIERVO",2.90000000000000000000,0.00000000000000000000,1,"09","000435",0,"03/13/13 00:00:00","TIENDA","IVA21"
"09004881","LAMPARA CAMPING GRD.SURT.",3.30000000000000000000,1.35000000000000000000,1,"09","000340",0,"03/20/13 00:00:00","TIENDA","IVA21"
"09004884","LIBRO SUPER ACTIVIDADES CARS",2.45000000000000000000,1.00000000000000000000,1,"09","000423",0,"03/22/13 00:00:00","TIENDA","IVA04"
"09004886","TAZA HELLO KITTY C/CAJA",3.15000000000000000000,0.00000000000000000000,1,"09","000423",0,"04/16/13 00:00:00","TIENDA","IVA21"
"09004887","PEONZA/TROMPA MADERA 5,5CM",2.35000000000000000000,0.00000000000000000000,1,"09","000423",0,"04/16/13 00:00:00","TIENDA","IVA21"
"09004889","BARAJA INFANTIL MICKEY",3.40000000000000000000,0.00000000000000000000,1,"09","000423",0,"04/16/13 00:00:00","TIENDA","IVA21"
"09004890","SALERO D/PARED OVAL VACA CER.",2.50000000000000000000,0.00000000000000000000,1,"09","000423",0,"04/22/13 00:00:00","TIENDA","IVA21"
"09004895","LIBRO MICKEY COLOREAB.C/PEGAT.",2.25000000000000000000,0.00000000000000000000,1,"09","000423",0,"04/17/13 00:00:00","TIENDA","IVA04"
"09004896","LIBRO PRINCESA COLOREAB.ASA A4",0.80000000000000000000,0.00000000000000000000,1,"09","000423",0,"04/17/13 00:00:00","TIENDA","IVA04"
"09004899","LIBRO SUPER COLOR PIXAR",2.15000000000000000000,0.00000000000000000000,1,"09","000423",0,"04/16/13 00:00:00","TIENDA","IVA04"
"09004900","LIBRO PRINCESAS COLOREAB.C/PEG",2.25000000000000000000,0.00000000000000000000,1,"09","000423",0,"04/17/13 00:00:00","TIENDA","IVA04"
