Ticket,Fecha,CodTienda,CodCliente
"S2-13-003-256408","01/21/13 00:00:00","003","005316"
"S2-13-003-256410","01/21/13 00:00:00","003","000690"
"S2-13-003-256414","01/22/13 00:00:00","003","005265"
"S2-13-003-256417","01/22/13 00:00:00","003","006760"
"S2-13-003-256424","01/22/13 00:00:00","003","005896"
"S2-13-003-256426","01/22/13 00:00:00","003","006649"
"S2-13-003-256428","01/22/13 00:00:00","003","007757"
"S2-13-003-256438","01/22/13 00:00:00","003","005958"
"S2-13-003-256443","01/23/13 00:00:00","003","004968"
"S2-13-003-256448","01/23/13 00:00:00","003","005430"
"S2-13-003-256449","01/23/13 00:00:00","003","009987"
"S2-13-003-256454","01/23/13 00:00:00","003","006467"
"S2-13-003-256455","01/23/13 00:00:00","003","002514"
"S2-13-003-256462","01/23/13 00:00:00","003","005144"
"S2-13-003-256468","01/23/13 00:00:00","003","000327"
"S2-13-003-256469","01/23/13 00:00:00","003","000117"
"S2-13-003-256471","01/23/13 00:00:00","003","009987"
"S2-13-003-256472","01/23/13 00:00:00","003","007052"
"S2-13-003-256484","01/24/13 00:00:00","003","005265"
"S2-13-003-256492","01/24/13 00:00:00","003","001128"
"S2-13-003-256498","01/24/13 00:00:00","003","006166"
"S2-13-003-256499","01/24/13 00:00:00","003","007246"
"S2-13-003-256500","01/24/13 00:00:00","003","006521"
"S2-13-003-256513","01/25/13 00:00:00","003","007047"
"S2-13-003-256514","01/25/13 00:00:00","003","007047"
"S2-13-003-256517","01/25/13 00:00:00","003","005265"
"S2-13-003-256520","01/25/13 00:00:00","003","002514"
"S2-13-003-256523","01/25/13 00:00:00","003","006744"
"S2-13-003-256525","01/26/13 00:00:00","003","007047"
"S2-13-003-256527","01/26/13 00:00:00","003","005265"
"S2-13-003-256528","01/26/13 00:00:00","003","005265"
"S2-13-003-256529","01/26/13 00:00:00","003","005265"
"S2-13-003-256537","01/26/13 00:00:00","003","006044"
"S2-13-003-256540","01/26/13 00:00:00","003","009016"
"S2-13-003-256548","01/26/13 00:00:00","003","006487"
"S2-13-003-256550","01/26/13 00:00:00","003","001549"
"S2-13-003-256557","01/26/13 00:00:00","003","005265"
"S2-13-003-256562","01/26/13 00:00:00","003","006162"
"S2-13-003-256563","01/26/13 00:00:00","003","000959"
"S2-13-003-256564","01/26/13 00:00:00","003","006777"
"S2-13-003-256567","01/26/13 00:00:00","003","000666"
"S2-13-003-256568","01/26/13 00:00:00","003","000666"
"S2-13-003-256570","01/27/13 00:00:00","003","005265"
"S2-13-003-256577","01/27/13 00:00:00","003","000074"
"S2-13-003-256580","01/27/13 00:00:00","003","006163"
"S2-13-003-256582","01/27/13 00:00:00","003","007052"
"S2-13-003-256587","01/28/13 00:00:00","003","005470"
"S2-13-003-256588","01/28/13 00:00:00","003","005470"
"S2-13-003-256590","01/28/13 00:00:00","003","006163"
"S2-13-003-256592","01/28/13 00:00:00","003","007222"
"S2-13-003-256595","01/28/13 00:00:00","003","009987"
"S2-13-003-256599","01/28/13 00:00:00","003","003328"
"S2-13-003-256615","01/29/13 00:00:00","003","006163"
"S2-13-003-256629","01/29/13 00:00:00","003","000666"
"S2-13-003-256632","01/29/13 00:00:00","003","002639"
"S2-13-003-256635","01/29/13 00:00:00","003","005265"
"S2-13-003-256639","01/29/13 00:00:00","003","005372"
"S2-13-003-256640","01/29/13 00:00:00","003","005923"
"S2-13-003-256651","01/30/13 00:00:00","003","001163"
"S2-13-003-256653","01/30/13 00:00:00","003","005264"
"S2-13-003-256663","01/30/13 00:00:00","003","008690"
"S2-13-003-256665","01/30/13 00:00:00","003","001163"
"S2-13-003-256666","01/30/13 00:00:00","003","007996"
"S2-13-003-256667","01/30/13 00:00:00","003","000520"
"S2-13-003-256676","01/31/13 00:00:00","003","002877"
"S2-13-003-256684","01/31/13 00:00:00","003","008813"
"S2-13-003-256685","01/31/13 00:00:00","003","002639"
"S2-13-003-256711","02/01/13 00:00:00","003","005430"
"S2-13-003-256714","02/01/13 00:00:00","003","006163"
"S2-13-003-256717","02/02/13 00:00:00","003","005896"
"S2-13-003-256723","02/02/13 00:00:00","003","006521"
"S2-13-003-256725","02/02/13 00:00:00","003","005958"
"S2-13-003-256727","02/02/13 00:00:00","003","005430"
"S2-13-003-256749","02/03/13 00:00:00","003","005265"
"S2-13-003-256757","02/03/13 00:00:00","003","006166"
"S2-13-003-256764","02/03/13 00:00:00","003","009987"
"S2-13-003-256766","02/03/13 00:00:00","003","008830"
"S2-13-003-256777","02/04/13 00:00:00","003","006449"
"S2-13-003-256786","02/04/13 00:00:00","003","009987"
"S2-13-003-256792","02/04/13 00:00:00","003","006182"
"S2-13-003-256808","02/05/13 00:00:00","003","009987"
"S2-13-003-256825","02/05/13 00:00:00","003","000026"
"S2-13-003-256826","02/05/13 00:00:00","003","000026"
"S2-13-003-256827","02/05/13 00:00:00","003","000026"
"S2-13-003-256831","02/06/13 00:00:00","003","005265"
"S2-13-003-256832","02/06/13 00:00:00","003","006521"
"S2-13-003-256845","02/06/13 00:00:00","003","006163"
"S2-13-003-256849","02/06/13 00:00:00","003","006487"
"S2-13-003-256850","02/06/13 00:00:00","003","005935"
"S2-13-003-256851","02/07/13 00:00:00","003","007047"
"S2-13-003-256854","02/07/13 00:00:00","003","006182"
"S2-13-003-256860","02/07/13 00:00:00","003","007047"
"S2-13-003-256867","02/08/13 00:00:00","003","007385"
"S2-13-003-256870","02/08/13 00:00:00","003","007017"
"S2-13-003-256872","02/08/13 00:00:00","003","000020"
"S2-13-003-256877","02/08/13 00:00:00","003","006487"
"S2-13-003-256880","02/08/13 00:00:00","003","008542"
"S2-13-003-256889","02/08/13 00:00:00","003","007601"
